    Id  UsuarioId       ListaReceita
0    4        386  96,230,228,103,82
1    5        387   46,85,103,80,174
2    6        388   80,82,132,79,115
3    7        390  191,79,47,174,132
4    8        391     47,82,61,41,79
5    9        393    86,61,115,80,99
6   11        395   103,132,85,80,82
7   12        396   82,191,99,85,228
8   19        403     74,93,69,76,88
9   20        404     78,54,70,92,72
10  21        405     70,94,69,72,88
11  22        406     77,93,91,51,87
12  23        407     78,94,51,93,69
13  24        408     92,94,51,69,54
14  25        409     54,51,88,92,87
15  26        410     78,74,94,51,87
16  27        411     90,94,92,70,71
17  28        412     69,72,94,92,87
18  29        413     75,92,73,90,93
